image ID,class label
1,2
2,1
3,1
4,1
5,1
6,1
7,2
8,1
9,1
10,1
11,1
12,1
13,3
14,1
15,1
16,2
17,1
18,1
19,2
20,1
21,3
22,1
23,1
24,1
25,2
26,3
27,1
28,1
29,2
30,3
31,2
32,2
33,1
34,1
35,1
36,2
37,1
38,2
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,2
48,1
49,1
50,1
51,2
52,1
53,1
54,3
55,1
56,3
57,1
58,1
59,1
60,1
61,1
62,2
63,1
64,1
65,1
66,4
67,2
68,1
69,3
70,2
71,3
72,2
73,2
74,2
75,2
76,2
77,2
78,2
79,2
80,2
81,2
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,3
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
124,3
125,3
126,3
127,3
128,3
129,3
130,3
131,3
132,4
133,4
134,4
135,1
136,1
137,1
138,2
139,2
140,1
141,1
142,1
143,3
144,1
145,1
146,1
147,1
148,1
149,4
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,4
196,4
197,4
198,4
199,4
200,4
201,1
202,3
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,3
218,1
219,1
220,1
221,3
222,3
223,1
224,3
225,1
226,1
227,1
228,3
229,1
230,1
231,1
232,1
233,1
234,4
235,1
236,1
237,4
238,1
239,1
240,3
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,4
261,1
262,1
263,3
264,1
265,1
266,1
267,1
268,3
269,1
270,1
271,1
272,1
273,1
274,1
275,4
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,2
286,2
287,2
288,2
289,2
290,2
291,5
292,4
293,4
294,4
295,4
296,4
297,4
298,4
299,1
300,1
